Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Month,Budget_Planned,Variance,Cost_Per_Click
Women 25-34,Product Launch,15 Days,Pinterest,0.03,3859.46,1.3692040397129708,5670,19444,1,Food,2022-02-06,Gastronomy Guild,Feb,4245.406,385.9459999999999,0.68
Women 45-60,Brand Awareness,60 Days,Facebook,0.09,12019.87,5.49,31821,95775,7,Technology,2022-09-07,Giga Geeks,Sep,13221.857000000002,1201.987000000001,0.38
Women 35-44,Increase Sales,60 Days,Twitter,0.13,13245.66,0.54,34982,105138,3,Fashion,2022-02-21,Attire Artistry,Feb,14570.226,1324.5660000000007,0.38
Women 25-34,Market Expansion,45 Days,Facebook,0.07,7773.9,6.1,20299,61646,8,Technology,2022-10-24,Gadget Giants,Oct,8551.29,777.3900000000012,0.38
Women 25-34,Increase Sales,45 Days,Instagram,0.07,9334.08,1.77,24521,74153,5,Technology,2022-12-16,Gadget Giants,Dec,10267.488000000001,933.4080000000013,0.38
Women 35-44,Brand Awareness,45 Days,Instagram,0.09,11356.14,4.21,30046,90518,4,Health,2022-08-30,Aura Align,Aug,12491.754,1135.6140000000014,0.38
Men 18-24,Increase Sales,45 Days,Instagram,0.11,8787.0,4.46,23058,69819,10,Fashion,2022-05-07,Mode Maven,May,9665.7,878.7000000000007,0.38
Women 18-24,Increase Sales,30 Days,Pinterest,0.04,7293.88,0.4647428855422617,11153,37300,1,Food,2022-03-26,Feast Flavors,Mar,8023.268000000001,729.3880000000008,0.65
Women 25-34,Increase Sales,45 Days,Facebook,0.01,7995.16,4.18,20900,63426,9,Home,2022-01-09,Nest Neat,Jan,8794.676000000001,799.5160000000014,0.38
Women 45-60,Market Expansion,30 Days,Twitter,0.03,6847.01,7.97,17782,54191,10,Food,2022-12-11,Feast Flavors,Dec,7531.711000000001,684.7010000000009,0.39
Women 45-60,Increase Sales,45 Days,Facebook,0.07,8347.56,1.46,21868,66294,2,Home,2022-07-09,Hearth Harmony,Jul,9182.316,834.7560000000012,0.38
Women 45-60,Brand Awareness,60 Days,Pinterest,0.07,15000.0,0.3914565074375203,22929,75641,1,Food,2022-11-17,Gourmet Grove,Nov,16500.0,1500.0,0.65
Women 45-60,Market Expansion,60 Days,Instagram,0.12,13411.28,5.17,35371,106289,10,Home,2022-10-12,Dwell Delight,Oct,14752.408000000001,1341.1280000000006,0.38
All Ages,Increase Sales,45 Days,Pinterest,0.01,8530.79,0.293145512418965,13140,43768,1,Technology,2022-11-26,Innovate Infinity,Nov,9383.869000000002,853.0790000000015,0.65
Men 25-34,Market Expansion,30 Days,Twitter,0.05,6899.57,5.96,17923,54608,3,Home,2022-09-21,Furnish Fine,Sep,7589.527,689.9570000000003,0.38
Men 25-34,Brand Awareness,45 Days,Instagram,0.07,10567.4,2.79,27895,84144,5,Technology,2022-03-29,Giga Geeks,Mar,11624.140000000001,1056.7400000000016,0.38
Men 18-24,Brand Awareness,15 Days,Facebook,0.15,2803.2,0.36,6862,21845,5,Fashion,2022-08-01,Attire Artistry,Aug,3083.52,280.32000000000016,0.41
Men 18-24,Product Launch,15 Days,Twitter,0.04,902.42,0.51,2688,9483,1,Home,2022-08-25,Living Luxe,Aug,992.662,90.24200000000008,0.34
Women 18-24,Increase Sales,15 Days,Facebook,0.1,500.0,7.14,1123,4846,7,Technology,2022-12-02,Code Crafters,Dec,550.0,50.0,0.45
Women 25-34,Brand Awareness,45 Days,Facebook,0.05,9672.7,2.66,25462,76940,10,Health,2022-12-01,Heal Hub,Dec,10639.970000000001,967.2700000000004,0.38
Men 25-34,Market Expansion,30 Days,Instagram,0.11,5413.94,7.86,13895,42678,8,Fashion,2022-07-01,Mode Maven,Jul,5955.334,541.3940000000002,0.39
Women 45-60,Product Launch,30 Days,Twitter,0.04,5859.81,7.29,15115,46290,8,Health,2022-10-13,Elixir Essence,Oct,6445.791000000001,585.9810000000007,0.39
Men 45-60,Brand Awareness,45 Days,Twitter,0.08,10101.21,3.39,26628,80393,7,Health,2022-02-07,Vigor Valley,Feb,11111.331,1010.121000000001,0.38
Men 35-44,Market Expansion,15 Days,Facebook,0.12,903.3,3.53,2690,9488,7,Technology,2022-07-27,Pixel Pioneers,Jul,993.63,90.33000000000004,0.34
Men 18-24,Increase Sales,15 Days,Facebook,0.06,3173.05,7.83,7825,24698,3,Fashion,2022-03-14,Mode Maven,Mar,3490.3550000000005,317.3050000000003,0.41
Men 45-60,Product Launch,60 Days,Twitter,0.13,13078.39,3.33,34573,103927,7,Food,2022-07-28,Savor Street,Jul,14386.229000000001,1307.8390000000018,0.38
Women 35-44,Increase Sales,60 Days,Instagram,0.11,12067.53,0.31,31944,96140,5,Technology,2022-09-16,Cyber Circuit,Sep,13274.283000000001,1206.7530000000006,0.38
Women 45-60,Increase Sales,30 Days,Facebook,0.11,6080.84,4.7,15721,48085,2,Food,2022-08-17,Epicurean Edge,Aug,6688.924000000001,608.0840000000007,0.39
Men 45-60,Increase Sales,60 Days,Pinterest,0.1,12471.95,1.0081345670993676,19389,64116,1,Home,2022-03-28,Domestic Dream,Mar,13719.145000000002,1247.1950000000015,0.64
Men 18-24,Increase Sales,45 Days,Instagram,0.12,9764.24,0.62,25718,77696,1,Health,2022-11-19,Wellness Waves,Nov,10740.664,976.4240000000009,0.38
Men 45-60,Market Expansion,15 Days,Pinterest,0.07,500.0,0.7078391641335985,1160,4760,1,Health,2022-05-22,Fitness Front,May,550.0,50.0,0.43
Women 45-60,Increase Sales,15 Days,Pinterest,0.09,1645.79,0.6327653133921562,2411,8833,1,Home,2022-06-17,Dwell Delight,Jun,1810.3690000000001,164.57900000000018,0.68
Men 35-44,Brand Awareness,60 Days,Instagram,0.05,11579.62,6.25,30659,92334,8,Technology,2022-04-09,Giga Geeks,Apr,12737.582000000002,1157.9620000000014,0.38
All Ages,Product Launch,60 Days,Twitter,0.04,12726.83,0.99,33677,101271,10,Home,2022-05-11,Nest Neat,May,13999.513,1272.683000000001,0.38
Women 18-24,Increase Sales,15 Days,Twitter,0.05,1385.63,3.81,3576,12112,10,Health,2022-01-09,Pulse Point,Jan,1524.1930000000002,138.5630000000001,0.39
Women 45-60,Product Launch,15 Days,Facebook,0.04,500.0,4.09,1824,6922,6,Technology,2022-04-05,Cyber Circuit,Apr,550.0,50.0,0.27
Men 25-34,Product Launch,30 Days,Facebook,0.05,5935.49,7.5,15324,46911,1,Fashion,2022-04-11,Style Sphere,Apr,6529.039000000001,593.5490000000009,0.39
Women 35-44,Market Expansion,60 Days,Twitter,0.11,13620.65,4.71,35861,107740,7,Health,2022-10-09,Vital Vigor,Oct,14982.715,1362.0650000000005,0.38
Men 18-24,Product Launch,45 Days,Pinterest,0.06,8115.68,1.126107761121634,12469,41583,1,Technology,2022-10-23,Innovate Infinity,Oct,8927.248000000001,811.5680000000011,0.65
Women 18-24,Brand Awareness,15 Days,Pinterest,0.08,3350.48,0.2180716616775227,4870,16840,1,Fashion,2022-03-22,Style Sphere,Mar,3685.5280000000002,335.04800000000023,0.69
Men 35-44,Brand Awareness,15 Days,Pinterest,0.02,3900.11,0.1608725373030905,5735,19656,1,Home,2022-08-11,Space Spruce,Aug,4290.121,390.01099999999997,0.68
Women 35-44,Market Expansion,30 Days,Facebook,0.09,6593.6,0.14,17090,52142,4,Health,2022-02-01,Balance Beam,Feb,7252.960000000001,659.3600000000006,0.39
Men 18-24,Increase Sales,45 Days,Facebook,0.05,10050.14,4.74,26488,79978,8,Home,2022-12-07,Nest Neat,Dec,11055.154,1005.014000000001,0.38
Men 25-34,Product Launch,60 Days,Facebook,0.04,13814.93,7.78,36278,108978,10,Food,2022-04-20,Epicurean Edge,Apr,15196.423,1381.4930000000004,0.38
Men 18-24,Market Expansion,45 Days,Twitter,0.05,9917.36,1.19,26127,78907,4,Home,2022-07-15,Dwell Delight,Jul,10909.096000000001,991.7360000000008,0.38
Women 25-34,Increase Sales,45 Days,Pinterest,0.09,8489.27,0.859774338253184,13071,43544,1,Fashion,2022-08-29,Style Sphere,Aug,9338.197000000002,848.9270000000015,0.65
Men 25-34,Brand Awareness,15 Days,Twitter,0.01,2777.25,6.24,6798,21656,4,Fashion,2022-02-25,Glam Garments,Feb,3054.9750000000004,277.72500000000036,0.41
Men 45-60,Brand Awareness,15 Days,Pinterest,0.04,1791.36,0.2484586965014398,2595,9432,1,Food,2022-11-13,Nosh Nirvana,Nov,1970.496,179.1360000000002,0.69
Men 35-44,Brand Awareness,60 Days,Instagram,0.08,12993.92,7.55,34364,103307,1,Home,2022-09-13,Cozy Corners,Sep,14293.312000000002,1299.3920000000016,0.38
Women 35-44,Product Launch,15 Days,Pinterest,0.04,3483.69,0.6148905870251462,5073,17501,1,Food,2022-04-12,Gourmet Grove,Apr,3832.059,348.36900000000014,0.69
Women 45-60,Brand Awareness,45 Days,Twitter,0.04,10579.88,4.62,27932,84255,10,Technology,2022-10-26,Quantum Quirks,Oct,11637.868,1057.9880000000012,0.38
Women 18-24,Market Expansion,45 Days,Facebook,0.14,9752.26,0.68,25683,77593,3,Fashion,2022-08-21,Trend Tailors,Aug,10727.486,975.2260000000006,0.38
Women 35-44,Market Expansion,15 Days,Pinterest,0.02,500.0,0.9419980795414302,460,2479,1,Home,2022-10-31,Hearth Harmony,Oct,550.0,50.0,1.09
Women 35-44,Increase Sales,45 Days,Twitter,0.07,9634.57,0.28,25356,76626,8,Fashion,2022-02-18,Style Sphere,Feb,10598.027,963.4570000000003,0.38
Men 45-60,Brand Awareness,30 Days,Pinterest,0.11,5121.8,0.5791411342911261,7700,26056,1,Technology,2022-10-05,Code Crafters,Oct,5633.9800000000005,512.1800000000003,0.67
Women 35-44,Product Launch,60 Days,Facebook,0.07,12049.36,4.01,31894,95990,6,Fashion,2022-11-05,Chic Couture,Nov,13254.296000000002,1204.9360000000015,0.38
Men 35-44,Market Expansion,60 Days,Pinterest,0.14,12084.01,0.1823222089435026,18788,62158,1,Food,2022-10-02,Gastronomy Guild,Oct,13292.411000000002,1208.4010000000017,0.64
Men 35-44,Increase Sales,60 Days,Instagram,0.1,15000.0,5.32,39351,118078,5,Technology,2022-06-19,Quantum Quirks,Jun,16500.0,1500.0,0.38
Women 25-34,Brand Awareness,30 Days,Pinterest,0.11,5538.62,0.4111187064412314,8361,28208,1,Home,2022-07-20,Cozy Corners,Jul,6092.482,553.8620000000001,0.66
All Ages,Product Launch,60 Days,Pinterest,0.11,15000.0,0.9133985173542144,22844,75364,1,Fashion,2022-03-26,Vogue Visions,Mar,16500.0,1500.0,0.66
Men 25-34,Product Launch,15 Days,Pinterest,0.04,1272.66,1.0778459999307068,1972,7402,1,Technology,2022-05-21,NexGen Nerds,May,1399.9260000000002,127.26600000000008,0.65
Men 45-60,Increase Sales,30 Days,Twitter,0.05,7428.96,0.19,19348,58828,5,Health,2022-05-18,Heal Hub,May,8171.856000000001,742.8960000000006,0.38
Men 25-34,Increase Sales,30 Days,Twitter,0.12,7132.53,4.32,18557,56487,10,Fashion,2022-10-12,Fiber Fashion,Oct,7845.783,713.2530000000006,0.38
All Ages,Market Expansion,30 Days,Facebook,0.12,4302.2,2.39,10872,33724,8,Home,2022-01-21,Living Luxe,Jan,4732.42,430.22000000000025,0.4
Men 25-34,Product Launch,30 Days,Pinterest,0.11,4968.42,1.2530183183274053,7449,25237,1,Technology,2022-04-22,Giga Geeks,Apr,5465.262000000001,496.84200000000055,0.67
Women 25-34,Increase Sales,60 Days,Twitter,0.09,13788.69,1.37,36220,108805,2,Home,2022-08-23,Hearth Harmony,Aug,15167.559000000001,1378.8690000000006,0.38
All Ages,Market Expansion,30 Days,Instagram,0.08,4356.5,6.24,11013,34140,10,Home,2022-05-02,Decor Dreams,May,4792.150000000001,435.65000000000055,0.4
Women 45-60,Market Expansion,60 Days,Instagram,0.14,13975.86,7.62,36617,109979,5,Fashion,2022-07-14,Fiber Fashion,Jul,15373.446000000002,1397.5860000000011,0.38
All Ages,Product Launch,45 Days,Instagram,0.02,7936.64,1.11,20739,62948,3,Food,2022-07-16,Gastronomy Guild,Jul,8730.304000000002,793.6640000000016,0.38
All Ages,Product Launch,30 Days,Pinterest,0.08,6156.0,0.7829130148750407,9350,31426,1,Food,2022-04-06,Gastronomy Guild,Apr,6771.6,615.6000000000004,0.66
Men 45-60,Product Launch,60 Days,Twitter,0.06,15000.0,3.68,39418,118276,4,Home,2022-07-14,Domestic Dream,Jul,16500.0,1500.0,0.38
Men 18-24,Product Launch,45 Days,Pinterest,0.09,7918.87,0.9884723680956564,12151,40548,1,Home,2022-12-30,Furnish Fine,Dec,8710.757000000001,791.8870000000015,0.65
Women 45-60,Product Launch,60 Days,Pinterest,0.11,12235.47,0.2091342984940177,19025,62930,1,Home,2022-06-21,Domestic Dream,Jun,13459.017,1223.5470000000005,0.64
Women 25-34,Product Launch,15 Days,Instagram,0.08,963.63,6.58,2793,9793,10,Technology,2022-10-04,Gadget Giants,Oct,1059.9930000000002,96.36300000000017,0.35
Women 35-44,Product Launch,15 Days,Twitter,0.05,3006.18,6.57,7396,23426,9,Food,2022-07-17,Nosh Nirvana,Jul,3306.7980000000002,300.6180000000004,0.41
Women 45-60,Brand Awareness,15 Days,Pinterest,0.08,3950.44,0.1608725373030905,5818,19925,1,Food,2022-03-12,Nosh Nirvana,Mar,4345.484,395.0440000000003,0.68
Women 18-24,Brand Awareness,60 Days,Facebook,0.03,12826.7,0.18,33943,102060,4,Food,2022-01-12,Gastronomy Guild,Jan,14109.370000000003,1282.670000000002,0.38
All Ages,Product Launch,45 Days,Instagram,0.14,10130.92,4.45,26715,80652,5,Health,2022-04-23,Balance Beam,Apr,11144.012,1013.0920000000006,0.38
Men 35-44,Increase Sales,30 Days,Pinterest,0.07,7587.52,0.7114141094070006,11619,38816,1,Home,2022-11-23,Homely Haven,Nov,8346.272,758.7520000000004,0.65
Men 25-34,Product Launch,45 Days,Instagram,0.12,7952.26,4.48,20784,63082,10,Home,2022-09-04,Homely Haven,Sep,8747.486,795.2260000000006,0.38
Women 18-24,Market Expansion,60 Days,Instagram,0.06,14105.23,3.8,36891,110794,5,Food,2022-09-14,Savor Street,Sep,15515.753,1410.523000000001,0.38
Men 45-60,Brand Awareness,30 Days,Facebook,0.04,5641.72,3.68,14522,44535,7,Fashion,2022-11-09,Runway Rebels,Nov,6205.892000000001,564.1720000000005,0.39
All Ages,Increase Sales,30 Days,Pinterest,0.08,4572.66,0.3253200198795831,6818,23181,1,Food,2022-12-12,Feast Flavors,Dec,5029.926,457.26600000000053,0.67
Men 45-60,Product Launch,60 Days,Instagram,0.13,12784.35,1.64,33835,101740,7,Health,2022-06-30,Pulse Point,Jun,14062.785000000002,1278.4350000000013,0.38
Men 25-34,Increase Sales,60 Days,Twitter,0.05,11942.5,1.41,31621,95182,7,Fashion,2022-07-10,Style Sphere,Jul,13136.750000000002,1194.2500000000018,0.38
Women 18-24,Market Expansion,45 Days,Pinterest,0.15,9326.02,0.5237294825533949,14389,47835,1,Home,2022-04-24,Nest Neat,Apr,10258.622000000001,932.6020000000008,0.65
Women 25-34,Product Launch,45 Days,Facebook,0.14,11195.34,7.94,29612,89232,1,Fashion,2022-05-05,Attire Artistry,May,12314.874000000002,1119.5340000000015,0.38
All Ages,Product Launch,60 Days,Pinterest,0.02,15000.0,0.2037718805839147,22696,74885,1,Health,2022-03-29,Elixir Essence,Mar,16500.0,1500.0,0.66
Men 25-34,Increase Sales,60 Days,Pinterest,0.14,15000.0,0.4826176119092717,22830,75321,1,Technology,2022-03-09,Silicon Saga,Mar,16500.0,1500.0,0.66
All Ages,Product Launch,15 Days,Twitter,0.05,3932.96,2.32,9857,30715,6,Home,2022-08-25,Dwell Delight,Aug,4326.256,393.2960000000003,0.4
Men 25-34,Increase Sales,30 Days,Pinterest,0.01,6433.79,0.4021813432577264,9789,32854,1,Technology,2022-10-25,Gadget Giants,Oct,7077.169000000001,643.3790000000008,0.66
Men 35-44,Market Expansion,45 Days,Twitter,0.14,9931.62,6.09,26163,79015,1,Health,2022-09-08,Fitness Front,Sep,10924.782000000001,993.1620000000003,0.38
Men 25-34,Product Launch,30 Days,Instagram,0.09,7536.35,4.17,19643,59702,1,Health,2022-07-13,Fitness Front,Jul,8289.985,753.6350000000002,0.38
Men 35-44,Brand Awareness,45 Days,Facebook,0.02,10133.48,7.32,26723,80674,3,Technology,2022-03-05,Code Crafters,Mar,11146.828,1013.348,0.38
Women 45-60,Market Expansion,60 Days,Facebook,0.11,13498.73,1.67,35573,106889,4,Fashion,2022-04-18,Fiber Fashion,Apr,14848.603000000001,1349.8730000000014,0.38
Women 45-60,Product Launch,60 Days,Twitter,0.12,13794.84,0.71,36236,108851,1,Fashion,2022-12-04,Style Sphere,Dec,15174.324,1379.4840000000004,0.38
Women 35-44,Increase Sales,45 Days,Instagram,0.03,8613.38,5.57,22593,68442,7,Technology,2022-03-17,Gadget Giants,Mar,9474.718,861.3380000000016,0.38
Women 18-24,Product Launch,15 Days,Pinterest,0.14,3461.28,0.1322729751158744,5039,17389,1,Fashion,2022-07-04,Fiber Fashion,Jul,3807.4080000000004,346.12800000000016,0.69
Men 18-24,Product Launch,60 Days,Pinterest,0.01,11565.76,0.5183670646432919,17986,59546,1,Health,2022-03-30,Vigor Valley,Mar,12722.336000000001,1156.576000000001,0.64
Men 45-60,Brand Awareness,60 Days,Twitter,0.02,15000.0,4.76,38799,116442,7,Fashion,2022-08-06,Style Sphere,Aug,16500.0,1500.0,0.39
Men 18-24,Market Expansion,30 Days,Facebook,0.12,7514.02,3.29,19589,59542,6,Technology,2022-01-15,Giga Geeks,Jan,8265.422,751.402,0.38
Women 25-34,Brand Awareness,30 Days,Facebook,0.04,6272.46,4.95,16231,49598,7,Food,2022-09-13,Bistro Bliss,Sep,6899.706000000001,627.246000000001,0.39
Women 35-44,Market Expansion,15 Days,Facebook,0.12,1047.09,6.65,2949,10255,7,Home,2022-08-17,Decor Dreams,Aug,1151.799,104.70900000000006,0.36
Men 18-24,Market Expansion,30 Days,Facebook,0.05,7192.49,7.09,18721,56973,4,Health,2022-11-12,Aura Align,Nov,7911.7390000000005,719.2490000000007,0.38
All Ages,Product Launch,30 Days,Instagram,0.04,4515.0,3.54,11449,35433,5,Health,2022-06-24,Well Wish,Jun,4966.5,451.5,0.39
Women 25-34,Increase Sales,30 Days,Facebook,0.13,4251.27,1.87,10734,33313,8,Technology,2022-02-01,Quantum Quirks,Feb,4676.397000000001,425.1270000000004,0.4
Men 25-34,Product Launch,45 Days,Facebook,0.13,11381.91,0.68,30115,90722,1,Food,2022-02-24,Feast Flavors,Feb,12520.101,1138.1910000000007,0.38
Women 35-44,Increase Sales,15 Days,Instagram,0.09,1720.4,2.13,4265,14152,2,Food,2022-12-22,Bistro Bliss,Dec,1892.4400000000003,172.0400000000002,0.4
Men 25-34,Market Expansion,45 Days,Twitter,0.14,8140.56,7.84,21302,64618,5,Food,2022-07-22,Savor Street,Jul,8954.616000000002,814.0560000000014,0.38
Men 18-24,Brand Awareness,30 Days,Pinterest,0.06,5763.15,0.2198591343142237,8718,29371,1,Fashion,2022-10-22,Silk & Style,Oct,6339.465,576.3150000000005,0.66
Men 18-24,Increase Sales,45 Days,Twitter,0.03,10216.72,5.56,26946,81334,10,Technology,2022-02-26,Gadget Giants,Feb,11238.392,1021.6720000000005,0.38
Men 25-34,Market Expansion,15 Days,Pinterest,0.12,3985.66,0.5094297014597868,5874,20109,1,Health,2022-07-30,Balance Beam,Jul,4384.226000000001,398.5660000000007,0.68
Men 25-34,Increase Sales,30 Days,Instagram,0.02,5625.57,5.12,14480,44411,3,Fashion,2022-07-02,Vogue Visions,Jul,6188.127,562.5570000000007,0.39
Men 45-60,Brand Awareness,15 Days,Pinterest,0.15,526.75,0.564841353197518,1246,5040,1,Home,2022-09-26,Space Spruce,Sep,579.4250000000001,52.67500000000007,0.42
Men 25-34,Market Expansion,60 Days,Facebook,0.11,13390.07,3.89,35323,106147,3,Food,2022-07-21,Nosh Nirvana,Jul,14729.077000000001,1339.0070000000014,0.38
Men 45-60,Brand Awareness,30 Days,Pinterest,0.09,5137.71,0.4129061790779325,7727,26143,1,Food,2022-10-18,Gourmet Grove,Oct,5651.481000000001,513.7710000000006,0.66
Men 35-44,Market Expansion,30 Days,Instagram,0.13,6759.6,2.29,17541,53475,2,Fashion,2022-11-15,Runway Rebels,Nov,7435.560000000001,675.960000000001,0.39
Men 18-24,Brand Awareness,30 Days,Facebook,0.03,4383.2,5.71,11091,34372,8,Food,2022-07-19,Gourmet Grove,Jul,4821.52,438.3200000000006,0.4
Women 18-24,Brand Awareness,60 Days,Facebook,0.12,13171.29,0.6,34802,104603,2,Fashion,2022-11-12,Runway Rebels,Nov,14488.419000000002,1317.1290000000008,0.38
Women 35-44,Brand Awareness,15 Days,Facebook,0.12,3985.01,0.3,10000,31140,2,Home,2022-05-07,Decor Dreams,May,4383.511,398.5010000000002,0.4
All Ages,Increase Sales,30 Days,Twitter,0.04,5001.36,0.65,12775,39361,9,Technology,2022-06-27,Giga Geeks,Jun,5501.496,500.1360000000004,0.39
Men 45-60,Brand Awareness,15 Days,Pinterest,0.04,3315.83,0.8061501591521538,4817,16667,1,Health,2022-01-04,Wellness Waves,Jan,3647.413,331.5830000000001,0.69
All Ages,Market Expansion,60 Days,Instagram,0.09,14166.73,0.97,37012,111150,10,Health,2022-03-22,Aura Align,Mar,15583.403,1416.6730000000007,0.38
All Ages,Increase Sales,45 Days,Instagram,0.09,7804.76,6.04,20382,61893,7,Fashion,2022-01-03,Mode Maven,Jan,8585.236,780.4760000000006,0.38
Women 35-44,Product Launch,30 Days,Twitter,0.08,4882.44,0.37,12450,38397,3,Home,2022-10-05,Cozy Corners,Oct,5370.684,488.2440000000006,0.39
Women 18-24,Brand Awareness,60 Days,Twitter,0.09,14054.41,7.07,36785,110478,3,Health,2022-05-02,Elixir Essence,May,15459.851,1405.4410000000007,0.38
Men 35-44,Increase Sales,30 Days,Instagram,0.06,4235.91,5.4,10694,33195,9,Fashion,2022-12-13,Trend Tailors,Dec,4659.501,423.59100000000035,0.4
Women 25-34,Increase Sales,15 Days,Twitter,0.02,2935.93,2.32,7208,22869,10,Technology,2022-07-16,Gadget Giants,Jul,3229.523,293.5930000000003,0.41
Men 45-60,Market Expansion,30 Days,Facebook,0.1,4652.44,7.96,11823,36541,3,Health,2022-02-20,Well Wish,Feb,5117.684,465.2440000000006,0.39
Men 18-24,Brand Awareness,45 Days,Instagram,0.01,10319.48,2.57,27218,82141,10,Health,2022-07-12,Well Wish,Jul,11351.428,1031.9480000000003,0.38
Women 25-34,Brand Awareness,15 Days,Facebook,0.15,3031.44,7.15,7464,23628,7,Health,2022-03-24,Wellness Waves,Mar,3334.5840000000003,303.14400000000023,0.41
Women 25-34,Increase Sales,45 Days,Facebook,0.13,7879.7,6.11,20581,62482,3,Technology,2022-08-31,Code Crafters,Aug,8667.67,787.9700000000003,0.38
Women 45-60,Market Expansion,30 Days,Pinterest,0.07,7560.31,0.2448837512280378,11575,38674,1,Food,2022-04-05,Gourmet Grove,Apr,8316.341,756.031,0.65
Men 45-60,Market Expansion,30 Days,Pinterest,0.08,6962.07,0.01787472636701,10627,35584,1,Health,2022-11-23,Well Wish,Nov,7658.277,696.2070000000003,0.66
Men 45-60,Product Launch,30 Days,Twitter,0.05,5954.27,6.26,15381,47079,4,Home,2022-08-12,Space Spruce,Aug,6549.697000000001,595.4270000000006,0.39
Men 18-24,Product Launch,45 Days,Instagram,0.07,10984.08,4.74,29026,87495,6,Fashion,2022-07-05,Vogue Visions,Jul,12082.488000000001,1098.4080000000013,0.38
All Ages,Product Launch,45 Days,Twitter,0.04,8913.85,3.23,23394,70812,10,Fashion,2022-03-23,Vogue Visions,Mar,9805.235,891.3850000000002,0.38
Men 45-60,Brand Awareness,15 Days,Twitter,0.1,4071.94,0.87,10237,31842,2,Food,2022-05-16,Nosh Nirvana,May,4479.134,407.19399999999996,0.4
Women 45-60,Brand Awareness,60 Days,Twitter,0.08,13005.14,0.78,34390,103385,7,Health,2022-02-18,Fitness Front,Feb,14305.654,1300.514000000001,0.38
Women 25-34,Increase Sales,30 Days,Pinterest,0.14,5506.23,1.0599712735636968,8310,28039,1,Health,2022-12-12,Aura Align,Dec,6056.853,550.6230000000005,0.66
Women 45-60,Increase Sales,60 Days,Pinterest,0.04,14490.02,0.6399152039389603,22094,72922,1,Food,2022-03-26,Gastronomy Guild,Mar,15939.022000000003,1449.0020000000022,0.66
Women 45-60,Product Launch,30 Days,Instagram,0.03,5526.07,0.56,14203,43590,8,Food,2022-07-12,Palate Paradise,Jul,6078.677000000001,552.6070000000009,0.39
Women 18-24,Product Launch,30 Days,Facebook,0.02,4533.44,7.82,11502,35589,8,Food,2022-04-19,Nosh Nirvana,Apr,4986.784,453.34400000000005,0.39
Women 25-34,Increase Sales,15 Days,Facebook,0.08,1709.42,0.19,4244,14090,9,Food,2022-07-25,Bistro Bliss,Jul,1880.3620000000003,170.94200000000023,0.4
Men 18-24,Increase Sales,45 Days,Instagram,0.04,10484.47,3.98,27675,83494,6,Health,2022-09-29,Well Wish,Sep,11532.917,1048.4470000000001,0.38
Men 35-44,Brand Awareness,60 Days,Pinterest,0.08,12112.07,1.0367341292865837,18831,62298,1,Fashion,2022-12-14,Mode Maven,Dec,13323.277,1211.2070000000003,0.64
Women 25-34,Brand Awareness,15 Days,Twitter,0.05,2122.96,3.72,5195,16907,1,Technology,2022-04-16,Silicon Saga,Apr,2335.2560000000003,212.29600000000028,0.41
Men 45-60,Product Launch,60 Days,Twitter,0.12,13579.08,1.38,35767,107464,5,Home,2022-03-23,Nest Neat,Mar,14936.988000000001,1357.9080000000013,0.38
Men 25-34,Market Expansion,15 Days,Facebook,0.04,1550.26,2.53,3917,13121,9,Home,2022-09-29,Dwell Delight,Sep,1705.286,155.02600000000007,0.4
Men 35-44,Market Expansion,30 Days,Instagram,0.04,5756.99,0.5,14831,45448,5,Fashion,2022-10-01,Chic Couture,Oct,6332.689,575.6990000000005,0.39
Men 45-60,Increase Sales,15 Days,Instagram,0.11,2915.33,4.74,7157,22720,1,Food,2022-04-17,Gastronomy Guild,Apr,3206.8630000000003,291.53300000000036,0.41
Women 25-34,Market Expansion,60 Days,Twitter,0.06,12202.23,4.84,32307,97214,1,Home,2022-09-19,Furnish Fine,Sep,13422.453000000001,1220.2230000000018,0.38
Women 35-44,Brand Awareness,45 Days,Pinterest,0.12,10885.52,0.6238279502086512,16892,55986,1,Health,2022-03-17,Elixir Essence,Mar,11974.072000000002,1088.5520000000015,0.64
Men 25-34,Increase Sales,15 Days,Instagram,0.12,763.45,2.13,2462,8812,3,Food,2022-03-29,Nosh Nirvana,Mar,839.7950000000001,76.34500000000003,0.31
Men 25-34,Brand Awareness,30 Days,Facebook,0.07,7382.85,1.53,19225,58464,8,Health,2022-11-05,Wellness Waves,Nov,8121.135000000001,738.2850000000008,0.38
Women 25-34,Increase Sales,15 Days,Twitter,0.04,3075.93,6.22,7575,23959,8,Technology,2022-05-06,NexGen Nerds,May,3383.523,307.5930000000003,0.41
Men 18-24,Brand Awareness,15 Days,Twitter,0.04,997.86,1.95,2859,9987,8,Home,2022-12-25,Dwell Delight,Dec,1097.6460000000002,99.78600000000017,0.35
Women 45-60,Increase Sales,15 Days,Instagram,0.06,2707.85,5.28,6626,21145,5,Fashion,2022-05-29,Attire Artistry,May,2978.635,270.7850000000003,0.41
Men 45-60,Brand Awareness,60 Days,Instagram,0.06,12840.57,0.45,33977,102160,1,Home,2022-05-06,Homely Haven,May,14124.627,1284.0570000000007,0.38
